Year,Date,Disaster_Type,Disaster_Subtype,Region,Sub_Region,Location,Latitude,Longitude,Deaths,People_Affected,Event_Description,Disaster_ID,Source
2006,2006-05-10,Flood,Riverine flood,Kilimanjaro,Rombo,Kilimandjaro,-3.095542,37.490726,0.0,21528.0,,2006-0255,GDIS (PEND) + EM-DAT
2006,2006-12-01,Flood,Riverine flood,Mbeya,,Mbeya,-8.228635,33.352816,0.0,21528.0,,2006-0624,GDIS (PEND) + EM-DAT
2006,2006-12-01,Flood,Riverine flood,Mwanza,,Mwanza,-2.381144,32.82076,0.0,21528.0,,2006-0624,GDIS (PEND) + EM-DAT
2006,2006-12-01,Flood,Riverine flood,Shinyanga,,Shinyanga,-3.755111,32.935671,0.0,21528.0,,2006-0624,GDIS (PEND) + EM-DAT
2006,2006-12-01,Flood,Riverine flood,Tabora,,Tabora,-5.266293,32.820191,0.0,21528.0,,2006-0624,GDIS (PEND) + EM-DAT
2006,2006-12-01,Flood,Riverine flood,Tanzania (national),,Tanzania (national),,,,21528.0,Riverine flood,,EM-DAT (CRED)
2008,2008-03-01,Flood,Flood (General) / Riverine flood,Arusha,Meru,Mirerani,-3.338667,36.901636,73.0,9457.0,,2008-0127,GDIS (PEND) + EM-DAT
2008,2008-01-01,Flood,Flood (General) / Riverine flood,Kigoma,,Kigoma,-4.762246,30.404606,73.0,9457.0,,2008-0066,GDIS (PEND) + EM-DAT
2008,2008-01-01,Flood,Flood (General) / Riverine flood,Manyara,,Manyara,-4.531698,36.545341,73.0,9457.0,,2008-0066,GDIS (PEND) + EM-DAT
2008,2008-03-01,Flood,Flood (General) / Riverine flood,Manyara,,Manyara region,-4.531698,36.545341,73.0,9457.0,,2008-0127,GDIS (PEND) + EM-DAT
2008,2008-01-01,Flood,Flood (General) / Riverine flood,Pwani,,Pwani,-7.268659,38.661611,73.0,9457.0,,2008-0066,GDIS (PEND) + EM-DAT
2008,2008-01-01,Flood,Flood (General) / Riverine flood,Rukwa,,Rukwa,-7.951836,31.356873,73.0,9457.0,,2008-0066,GDIS (PEND) + EM-DAT
2008,2008-01-01,Flood,Flood (General) / Riverine flood,Ruvuma,,Ruvuma,-10.729839,36.246956,73.0,9457.0,,2008-0066,GDIS (PEND) + EM-DAT
2008,2008-01-01,Flood,Flood (General),Tanzania (national),,Tanzania (national),,,72.0,7957.0,Flood (General),,EM-DAT (CRED)
2008,2008-01-01,Flood,Riverine flood,Tanzania (national),,Tanzania (national),,,1.0,1500.0,Riverine flood,,EM-DAT (CRED)
2009,2009-11-01,Flood,Riverine flood,Arusha,,Arusha,-2.971649,35.922795,38.0,50000.0,,2009-0591,GDIS (PEND) + EM-DAT
2009,2009-11-01,Flood,Riverine flood,Dodoma,Mpwapwa,Mpwapwa,-6.762119,36.333444,38.0,50000.0,,2009-0591,GDIS (PEND) + EM-DAT
